Count,geometry,NearestPumpID
3,POINT (529308.7414200425 181031.3515464273),0
2,POINT (529312.163571333 181025.1724011325),0
1,POINT (529314.3824294576 181020.2936884186),0
1,POINT (529317.3796448297 181014.2587706869),0
4,POINT (529320.6754489439 181007.8716281414),0
2,POINT (529336.6841539462 181006.0062458002),0
2,POINT (529290.1467623092 181024.365977456),0
2,POINT (529301.0228687563 181021.1763037925),0
3,POINT (529284.9986699834 181020.2036157514),1
2,POINT (529288.3593888506 181031.8300684251),1
2,POINT (529280.6092358404 181026.5716866229),1
1,POINT (529264.7208925384 181035.1979097608),1
3,POINT (529274.9319496568 181008.0377783795),1
1,POINT (529278.335029094 181002.9522615673),1
4,POINT (529281.3501256746 180997.1342803916),0
1,POINT (529259.6098062957 181010.283400582),1
1,POINT (529256.1829259214 181001.8293641622),1
1,POINT (529309.8232016254 181004.7254022619),0
4,POINT (529314.1321806902 180997.3811135707),0
3,POINT (529317.9971489708 180991.2746812742),0
2,POINT (529250.9578534282 181032.5099880845),1
1,POINT (529247.968953494 181049.2463923722),1
2,POINT (529231.4483444116 181027.6747207802),1
2,POINT (529236.7108861217 181025.2753046405),1
2,POINT (529244.0015432135 181028.9334719714),1
1,POINT (529251.0460029833 181054.7807037599),1
1,POINT (529247.03680827 181060.4622061875),1
3,POINT (529243.5699588249 181066.0990115658),1
1,POINT (529241.6246864195 181058.3965140701),1
1,POINT (529217.4110877436 181048.1610302503),1
1,POINT (529211.5197686884 181056.1817661858),1
1,POINT (529212.3404833645 181038.3135765287),1
2,POINT (529191.3004452826 181046.7091475928),1
2,POINT (529184.2457962056 181041.9394695466),1
1,POINT (529160.3373794671 181014.2058806876),1
1,POINT (529228.3415163909 181015.1536902086),1
1,POINT (529187.2729687133 180983.264855173),1
1,POINT (529213.0910012391 180978.5161384371),1
2,POINT (529213.9659311695 180970.5812131117),1
8,POINT (529222.825201924 180978.6967527611),1
2,POINT (529233.1225845387 180985.7109175696),1
1,POINT (529221.1015952806 180985.6095627383),1
1,POINT (529275.9227827799 180965.2256089845),0
1,POINT (529262.0963744993 180970.8381704768),1
1,POINT (529299.7701939486 180931.9487794676),0
1,POINT (529304.1880160359 180925.2478462077),7
4,POINT (529307.832120508 180921.2199667853),7
1,POINT (529302.2290166641 180919.5694592877),7
1,POINT (529293.0156831564 180929.8961569673),7
1,POINT (529319.4841335004 180915.9268211724),7
1,POINT (529330.5163238922 180923.8760837246),0
4,POINT (529335.3611169561 180928.9184352458),0
1,POINT (529331.1103008811 180915.7279613386),7
1,POINT (529345.127460371 180912.2948619655),0
1,POINT (529350.1732351941 180915.169307661),0
1,POINT (529353.6865182046 180910.1974326812),0
1,POINT (529377.1563009565 180935.4713363549),0
2,POINT (529362.9326183652 180947.1471770214),0
1,POINT (529371.7050565294 180952.2454801873),0
1,POINT (529326.3396912465 180980.4831103617),0
1,POINT (529338.1452647453 180959.4330061454),0
2,POINT (529346.007526291 180961.3530511218),0
1,POINT (529349.7227249583 180955.443939671),0
1,POINT (529352.8187239754 180950.5196804897),0
2,POINT (529337.8789317455 180976.0302803567),0
2,POINT (529335.35368609 180990.7126250386),0
1,POINT (529341.9202187721 180993.9067311753),0
2,POINT (529347.4254577962 180995.5541161592),0
3,POINT (529352.8899197236 180999.5394140769),0
1,POINT (529367.7608069181 181007.185132303),0
4,POINT (529374.0954580089 181010.3983464804),0
15,POINT (529383.5401030151 181014.5225262811),0
3,POINT (529389.1217817988 181017.0974299753),0
4,POINT (529394.065151112 181020.4253050975),0
5,POINT (529409.1501373901 181005.174768412),0
2,POINT (529420.9314711629 180989.4961406766),0
1,POINT (529414.6809342264 180978.8054319104),0
2,POINT (529407.8443060672 180975.1666777098),0
1,POINT (529402.6499487762 180971.6260311428),0
1,POINT (529395.8324304194 180968.2191561143),0
1,POINT (529387.6644083726 180962.5890299507),0
1,POINT (529377.1202535412 180956.4543646313),0
1,POINT (529419.3427594878 180973.0517625029),0
1,POINT (529400.9249112483 180956.360160978),0
1,POINT (529404.2744560458 180948.8470019726),0
1,POINT (529415.339698491 180955.6390859436),0
1,POINT (529420.9914907373 180944.901274008),0
1,POINT (529414.9371765244 180930.9260207494),0
1,POINT (529419.2307950299 180926.369974876),0
1,POINT (529431.7018727497 180928.43148872),0
1,POINT (529435.6863903411 180922.7988580854),5
2,POINT (529438.6091861872 180916.7404141362),5
1,POINT (529443.8151203073 180907.2428165151),5
1,POINT (529424.1792741731 180916.0474870297),5
4,POINT (529450.8392347365 180876.2072759207),5
2,POINT (529456.3102900258 180886.5359888647),5
1,POINT (529460.4647591404 180880.8893552614),5
4,POINT (529466.4186521745 180874.2389013107),5
4,POINT (529508.1321611741 180865.4968960584),5
1,POINT (529505.9059250091 180884.1596765577),5
4,POINT (529488.0283744063 180905.99449673),5
1,POINT (529487.216010859 180896.1373713211),5
1,POINT (529482.7076367447 180901.642066346),5
2,POINT (529461.3301665051 180941.2180274426),0
1,POINT (529453.9802775093 180941.3104485801),0
2,POINT (529446.4650721466 180951.8538889921),0
3,POINT (529442.3386188365 180957.8404278198),0
1,POINT (529436.4407547843 180965.1706910557),0
4,POINT (529431.7764374294 180970.8593491929),0
1,POINT (529438.4287723025 180974.7598264788),0
1,POINT (529434.344339109 180981.2562184821),0
7,POINT (529491.0906117358 180963.3926099809),0
3,POINT (529505.2042606487 180972.5082040251),0
8,POINT (529539.2129319988 180938.6635375224),4
1,POINT (529548.7066895916 180901.6998874542),4
1,POINT (529517.7564611862 180902.8115911955),4
5,POINT (529505.9895044239 181006.9801353029),0
8,POINT (529555.1529025645 180997.377804776),4
2,POINT (529547.0941683039 181009.3486007658),4
1,POINT (529552.0350935797 181001.9518377284),4
1,POINT (529540.7575816558 181017.271538631),4
2,POINT (529537.3491938796 181023.3085476513),0
1,POINT (529532.3723632175 181032.7640245766),0
2,POINT (529528.9303195025 181038.3926580293),0
2,POINT (529494.931834798 181042.4281059566),0
3,POINT (529519.1651859225 181037.1417019612),0
1,POINT (529500.7792368109 181048.5246003788),0
2,POINT (529487.9894294878 181043.0002665588),0
2,POINT (529507.1528135897 181056.0167562669),0
3,POINT (529457.0156920047 181013.8943660388),0
1,POINT (529459.878830988 181008.7245912643),0
2,POINT (529461.5000112558 181003.451597341),0
1,POINT (529468.3482011622 180994.2530393713),0
1,POINT (529471.4660135617 180989.6790030936),0
1,POINT (529478.7775671319 180976.1251772019),0
1,POINT (529454.7314621869 181018.6052795336),0
3,POINT (529439.161482014 181039.2125707645),0
3,POINT (529432.9371070532 181036.0251959763),0
3,POINT (529426.9000921468 181032.6168039606),0
3,POINT (529514.434330451 180944.8171537162),4
1,POINT (529528.7779971819 180944.251755378),4
2,POINT (529521.7032219658 180940.7233138859),4
1,POINT (529514.5947903636 180936.7864951021),4
1,POINT (529618.1135049376 181008.0181892831),4
1,POINT (529632.9575034261 181018.5125958456),4
2,POINT (529631.0255905618 181010.0376636724),4
1,POINT (529655.8893809461 181022.3787590882),4
1,POINT (529581.2123220116 181052.3571656082),4
1,POINT (529577.9373149651 181061.3982837109),4
2,POINT (529569.9812037975 181062.4194584767),4
2,POINT (529574.8019651223 181049.961742917),4
1,POINT (529561.4027684226 181082.4962074141),0
1,POINT (529565.2841089192 181071.9432474146),0
1,POINT (529531.7723118828 181068.8576717717),0
1,POINT (529525.9822139262 181082.8571509486),0
1,POINT (529509.9124035679 181091.8563684006),0
1,POINT (529516.8713285123 181056.5634603584),0
1,POINT (529518.3092834112 181105.0520857656),0
5,POINT (529565.3578726536 181090.5759855614),0
1,POINT (529571.088132584 181075.8505084713),0
1,POINT (529554.3325329355 181109.6085520688),0
2,POINT (529548.3722425881 181118.5100873667),0
2,POINT (529545.9517788363 181124.5452992972),0
1,POINT (529533.4907377141 181127.4603207133),0
1,POINT (529553.3976592093 181137.8343975202),0
1,POINT (529566.3186099202 181144.6648930857),0
1,POINT (529567.6843334886 181142.4926671475),0
2,POINT (529573.9321760096 181145.4105217558),0
2,POINT (529572.7369335677 181147.5686971704),0
5,POINT (529590.6945567991 181161.3645593838),0
1,POINT (529583.7647909283 181158.502908205),0
1,POINT (529588.8670441336 181155.85109134),0
1,POINT (529597.4154406348 181159.6091740285),0
1,POINT (529595.9054626127 181164.1962338986),0
4,POINT (529600.6911035855 181166.033123388),0
1,POINT (529608.3870950841 181169.861457087),0
2,POINT (529615.1501290209 181168.6175140734),0
1,POINT (529620.1905529826 181171.463237868),0
1,POINT (529541.6850343924 181306.2132773125),0
1,POINT (529489.041828468 181233.6866703947),0
1,POINT (529479.7138570057 181228.3451359452),0
1,POINT (529437.1529069298 181190.4693403276),0
3,POINT (529382.8326557598 181191.8910771923),0
1,POINT (529397.9508310236 181200.0883162339),0
1,POINT (529463.6893201307 181155.2310138805),0
2,POINT (529468.1926093542 181182.9117945519),0
1,POINT (529518.814392152 181153.4652176215),0
1,POINT (529530.6539715793 181152.2116993279),0
1,POINT (529520.6150744365 181195.5335494095),0
1,POINT (529460.4819906587 181143.2747091672),0
1,POINT (529470.3192577693 181144.6858923222),0
2,POINT (529464.4411580591 181137.3935724538),0
1,POINT (529480.9568712462 181125.4782212233),0
1,POINT (529469.7857378371 181124.7324522997),0
2,POINT (529485.2404149899 181116.7929350073),0
3,POINT (529477.1068662304 181112.4639180648),0
2,POINT (529424.3089829927 181139.034969362),0
1,POINT (529417.3243721288 181135.1667432394),0
1,POINT (529424.060372993 181159.6083633617),0
1,POINT (529431.2526444187 181162.6262471158),0
1,POINT (529437.2504988398 181164.6316023482),0
1,POINT (529420.789357384 181167.0992400462),0
2,POINT (529410.1502508551 181162.6989801402),0
3,POINT (529374.7345473899 181154.2303909537),0
3,POINT (529375.6546490969 181128.3245457286),0
1,POINT (529384.7325282873 181130.6315451617),0
1,POINT (529386.7561086705 181104.6347598222),0
3,POINT (529392.3098331956 181114.7312417134),0
1,POINT (529391.7081129265 181093.9501816306),0
1,POINT (529432.3880324708 181102.2626757466),0
1,POINT (529443.6925489777 181107.9968091733),0
1,POINT (529448.8855330102 181110.3462431342),0
2,POINT (529455.3638764409 181114.8116773956),0
2,POINT (529451.3693121106 181103.4754307428),0
4,POINT (529440.4543451915 181099.0979018691),0
5,POINT (529434.2746061541 181094.8855980721),0
2,POINT (529429.4029620923 181093.065163239),0
5,POINT (529477.2509183494 181080.5117417537),0
5,POINT (529484.4507313118 181100.4712537231),0
3,POINT (529470.610389814 181077.4483823511),0
3,POINT (529463.9471251458 181074.1091544841),0
1,POINT (529454.6646333985 181069.319340269),0
5,POINT (529448.5076324688 181065.3829034986),0
4,POINT (529442.4870460995 181063.101674649),0
4,POINT (529427.0930229544 181054.927155994),0
1,POINT (529402.3255606511 181040.8593421021),0
4,POINT (529395.7077645471 181038.071845467),0
1,POINT (529389.5962330555 181034.6871405496),0
3,POINT (529381.8522278684 181031.7147176338),0
2,POINT (529376.7077545696 181026.5838594597),0
1,POINT (529357.3969777907 181028.1753577235),0
2,POINT (529396.2882037496 181082.1849836381),0
1,POINT (529406.4922871762 181084.6769112983),0
1,POINT (529347.4247457051 181048.7169091429),0
2,POINT (529343.4428321386 181054.3221798446),0
3,POINT (529339.5912556401 181068.2489735525),0
1,POINT (529281.6518301397 181086.3560101383),1
1,POINT (529347.1099673976 181071.7957519133),0
4,POINT (529303.9912128943 181040.6316235948),0
2,POINT (529293.3959925068 181063.7242109675),1
2,POINT (529286.6448126737 181055.9483428879),1
1,POINT (529284.2013893129 181063.3710178866),1
5,POINT (529296.3258775095 181102.6444043402),1
3,POINT (529306.2555127278 181179.3161419387),2
2,POINT (529320.3187325264 181184.8229146013),2
3,POINT (529362.6645517991 181156.0583821159),0
2,POINT (529365.151890514 181176.1285600225),0
1,POINT (529274.1650442309 180907.3125979325),7
1,POINT (529299.3613350813 180873.184663104),7
1,POINT (529324.8151961137 180857.9487357035),7
