DEPENDENCIA_ADMINISTRATIVA,NOTA_MEDIA_ESCOLA,TAXA_DE_APROVACAO,TAXA_DE_PARTICIPACAO
Federal,659.2583618,92.2,96.89440918
Federal,637.6467285,86.5,98.71794891
Estadual,556.7106323,82.5,74.60317993
Estadual,542.8659668,70.2,54.65116501
Estadual,557.3791504,67.0,64.86486053
Estadual,524.5081787,68.9,54.44444275
Estadual,568.4736938,81.4,74.83870697
Estadual,550.8710327,87.8,65.51724243
Estadual,533.5371704,78.6,58.20895386
Estadual,556.4154053,75.5,74.59016418
Estadual,592.6153564,77.6,81.25000000
Estadual,547.4816284,67.2,63.25581741
Estadual,520.8861084,70.2,61.01694870
Estadual,566.8580322,54.9,71.19564819
Estadual,552.7999878,56.2,60.71428680
Estadual,534.6979980,56.4,57.14286041
Estadual,545.9743042,65.7,53.23740768
Estadual,574.0567627,83.1,83.01486206
Estadual,554.4782715,58.1,52.99999619
Estadual,568.6677246,82.0,83.78378296
Estadual,547.0000000,51.3,57.50000000
Estadual,557.5644531,89.9,83.06011200
Estadual,556.5211792,78.0,53.06122208
Estadual,508.1257935,62.8,52.54236984
Estadual,561.4895630,73.5,68.86227417
Estadual,556.8735962,60.9,68.38710022
Estadual,557.2357178,76.9,70.70706940
Estadual,566.9699707,70.4,80.09259033
Estadual,535.0333252,75.9,50.00000000
Estadual,584.3588257,69.7,86.86131287
Estadual,584.6336670,67.7,77.96610260
Estadual,620.2784424,85.1,95.42857361
Estadual,586.6071167,68.2,82.35294342
Estadual,541.2744141,68.1,70.49180603
Estadual,562.5884399,77.4,78.94737244
Estadual,576.0902100,92.7,88.95349121
Estadual,574.2937012,80.8,79.24151611
Estadual,590.9378662,93.5,92.78996277
Estadual,546.3103638,84.2,75.32466888
Estadual,547.4149170,80.6,59.82142639
Estadual,518.2174683,71.6,52.49999619
Estadual,581.2680054,66.0,75.75757599
Estadual,549.4452515,71.0,57.53424835
Estadual,576.3916626,62.7,68.57143402
Estadual,553.2792969,50.7,67.44186401
Estadual,552.1526489,74.4,56.06557083
Estadual,551.4797363,83.8,62.16216278
Estadual,549.8850098,61.6,54.05405045
Estadual,534.9310303,63.3,64.44444275
Estadual,563.2608032,76.6,69.86301422
Estadual,527.2653809,76.9,78.78787994
Estadual,604.4655762,96.2,99.20634460
Estadual,526.1643066,56.3,63.63636398
Estadual,577.5020752,80.8,84.09585571
Estadual,567.6722412,86.4,63.15789032
Estadual,546.3792725,64.1,60.91954041
Estadual,582.2993164,74.1,88.22630310
Estadual,581.5723267,90.8,86.50306702
Estadual,565.4383545,88.7,65.13158417
Estadual,562.1441040,77.9,69.05371094
Estadual,541.2640991,71.2,50.64934921
Estadual,546.1049805,64.4,50.63291168
Estadual,566.2738647,91.1,74.70288849
Estadual,557.7322998,75.5,76.41921997
Estadual,548.9591675,63.6,56.07476807
Estadual,538.7212524,69.8,64.94252777
Estadual,532.8961792,82.4,61.90476227
Estadual,561.2232666,66.5,66.44737244
Estadual,559.6163330,58.3,63.44827271
Estadual,554.2534180,84.9,67.95366669
Estadual,549.8099976,56.0,53.57142639
Estadual,552.1765747,69.4,58.71559525
Estadual,564.0080566,70.6,64.58332825
Estadual,558.4531250,86.3,59.81308365
Federal,638.0176392,86.7,94.44444275
Federal,614.7500000,93.8,95.23809814
Privada,658.3812256,94.7,97.95918274
Privada,581.5181885,90.6,95.65217590
Privada,690.0599976,90.2,100.00000000
Privada,626.3083496,85.7,96.00000000
Privada,608.9761963,84.3,87.50000000
Privada,619.2666626,95.0,100.00000000
Privada,635.5461426,93.6,96.29629517
Privada,651.7402344,82.5,100.00000000
Privada,657.4595947,92.9,82.53968048
Privada,552.5818481,97.8,91.66667175
Privada,665.6306152,97.4,100.00000000
Federal,642.0125122,91.0,96.96969604
Privada,620.0440063,86.8,94.93671417
Privada,626.9849854,97.8,83.33332825
Privada,621.4733276,97.3,93.75000000
Privada,608.7735596,92.2,94.44444275
Privada,611.5581665,76.3,98.21428680
Privada,691.4202881,93.7,97.52650452
Privada,697.0410767,92.4,98.40425110
Privada,700.7008057,87.6,98.04687500
Privada,608.4500122,94.9,84.21052551
Privada,661.5527954,87.5,94.73684692
Privada,643.1108398,92.5,99.32885742
Privada,586.8560181,87.3,86.20689392
Privada,581.7791748,88.3,80.00000000
Privada,657.7126465,95.9,100.00000000
Privada,617.0551147,94.0,98.00000000
Privada,662.9362183,93.0,97.18309784
Privada,604.9559937,96.2,92.59259033
Privada,648.3721924,96.6,94.73684692
Federal,658.6795654,81.2,89.42308044
Privada,646.0733032,81.2,100.00000000
Privada,607.6826782,93.7,98.11321259
Privada,623.8967896,93.6,91.17646790
Privada,595.6689453,89.8,75.52082825
Privada,640.0958252,92.9,100.00000000
Privada,665.3764648,93.6,93.40659332
Privada,637.3062744,93.6,91.42857361
Privada,620.9500122,91.7,91.89189148
Privada,618.2312622,95.4,94.11764526
Privada,577.5636597,96.2,78.57142639
Privada,663.7874756,89.7,96.96969604
Privada,628.3126831,77.7,92.64705658
Privada,632.2323608,95.2,97.14286041
Privada,588.9091187,75.2,100.00000000
Privada,598.4318237,97.4,91.66667175
Privada,668.6326294,95.1,96.07843018
Privada,632.7000122,93.3,93.33333588
Privada,681.5567017,97.0,95.34883118
Privada,664.7037964,89.3,94.64286041
Privada,676.4989624,93.6,98.50000000
Privada,629.4585571,95.8,97.61904144
Privada,589.8432617,89.6,74.00000000
Privada,596.2809448,67.4,55.26315689
Privada,625.4083252,91.2,100.00000000
Privada,601.8891602,92.9,93.87755585
Privada,616.6346436,98.8,100.00000000
Privada,613.7052612,86.8,76.00000000
Privada,587.0000000,83.1,91.89189148
Privada,600.2678833,74.2,66.66667175
Privada,650.7859497,83.5,92.75362396
Privada,660.3769531,86.7,97.50000000
Privada,686.6150513,89.4,92.73742676
Privada,635.8810425,93.0,95.08197021
Privada,626.5515137,94.5,91.66667175
Privada,609.8233032,97.2,93.75000000
Estadual,541.8925171,79.9,51.94805145
Estadual,560.8226318,73.9,61.76470566
Estadual,556.5562744,86.6,68.08510590
Estadual,560.1513062,80.2,73.86091614
Estadual,569.4566040,95.0,85.63380432
Estadual,539.0222168,63.4,54.00000381
Estadual,560.2373657,68.2,64.92536926
Estadual,572.7855225,85.3,86.25954437
Estadual,562.6242676,77.3,62.26414871
Estadual,548.6742554,68.6,50.00000000
Estadual,538.8602905,57.0,53.54330444
Estadual,566.2631836,81.2,74.50980377
Estadual,561.1494141,80.8,60.95890427
Estadual,553.9039307,81.5,82.25806427
Estadual,535.2161255,70.4,59.29648209
Estadual,555.9500122,69.0,61.63521957
Estadual,540.1272583,73.8,53.39805984
Estadual,556.5609741,75.2,60.00000381
Estadual,549.5335693,68.8,70.35176086
Estadual,558.2719727,78.5,70.09346008
Estadual,539.8784790,78.4,50.96774292
Estadual,521.2301636,61.2,64.63414764
Estadual,554.0007324,67.7,65.43778992
Estadual,564.9918823,77.2,79.60198975
Estadual,543.6346436,85.5,61.90476227
Estadual,556.1622314,67.4,61.35265732
Estadual,556.2153320,84.0,72.12389374
Estadual,561.5207520,83.8,65.59999847
Estadual,553.0142822,83.4,61.76470566
Estadual,558.7000122,55.1,58.82353210
Estadual,577.8883667,94.9,68.25396729
Estadual,551.4117432,89.6,51.51515198
Estadual,543.1347046,89.8,56.64739609
Estadual,549.8285522,93.3,66.66667175
Estadual,551.3898926,72.7,64.02877808
Estadual,550.7653198,87.3,64.47368622
Estadual,532.4605713,74.0,52.15311050
Estadual,539.3341064,84.6,58.27814484
Estadual,557.6286621,78.6,66.80850983
Estadual,566.7939453,74.3,62.26414871
Estadual,554.1469116,74.4,51.26582336
Estadual,546.0578003,95.0,75.00000000
Estadual,578.3634033,82.5,67.61904907
Estadual,562.4360352,88.3,67.71652985
Estadual,544.9787598,80.1,64.94252777
Estadual,561.7801514,70.4,69.87951660
Estadual,550.3220215,67.0,58.82353210
Estadual,557.3666382,86.9,60.44775772
Estadual,561.0354614,65.5,72.09302521
Estadual,523.2368164,75.2,57.57575607
Estadual,562.2802734,72.6,56.64335632
Estadual,549.6635742,91.9,76.42857361
Estadual,564.3322754,74.3,59.61538696
Estadual,554.6862793,76.3,54.25531769
Estadual,531.7515259,65.7,51.56250000
Estadual,532.2100220,77.3,58.82353210
Estadual,533.8155518,75.8,51.72413635
Estadual,554.5666504,89.6,81.08107758
Estadual,541.5999756,78.4,51.00401688
Estadual,539.8153076,89.0,54.96183014
Estadual,546.3202515,68.9,67.88990784
Estadual,542.4338379,85.8,53.12500000
Estadual,565.5164185,75.9,67.59259033
Estadual,556.3925781,65.7,58.06451416
Estadual,559.5510864,75.4,86.53846741
Estadual,548.1828613,82.5,64.31717682
Estadual,560.9254150,66.9,55.66037750
Estadual,541.0869751,86.4,58.12274170
Estadual,535.2421875,75.9,52.89255905
Estadual,544.5872192,65.8,58.74999619
Estadual,552.5344238,68.0,51.26050568
Estadual,548.0753174,71.1,57.04225159
Estadual,541.7304077,73.8,56.09756088
Estadual,539.7249756,74.3,75.00000000
Estadual,533.3307495,82.0,50.00000000
Estadual,526.7045898,77.1,61.32075119
Estadual,578.1454468,79.9,66.66667175
Estadual,554.9550781,89.7,76.66666412
Estadual,590.2888794,80.9,75.00000000
Estadual,559.3139648,88.4,71.85929108
Privada,620.0038452,92.2,86.66666412
Municipal,624.8048706,95.6,100.00000000
Privada,674.2037354,93.8,96.38554382
Privada,650.5030518,87.2,97.05882263
Privada,600.3428345,88.9,87.50000000
Privada,618.1601563,86.5,96.93251038
Municipal,612.4849854,91.6,100.00000000
Municipal,569.2089844,86.1,82.10526276
Privada,618.1729736,96.7,90.24389648
Privada,615.4785767,86.0,100.00000000
Municipal,599.4169922,91.4,94.00000000
Municipal,585.0679932,88.7,80.00000000
Privada,620.4461670,97.0,95.12194824
Estadual,542.0919800,83.9,73.80073547
Privada,631.1935425,88.8,100.00000000
Privada,601.5050049,98.7,83.33332825
Privada,627.7031250,96.2,96.96969604
Federal,634.6578979,83.6,96.20253754
Federal,657.6014404,98.7,96.52777863
Estadual,538.6937256,81.1,53.33333588
Estadual,546.2218628,87.3,58.18181610
Estadual,553.9615479,98.8,54.16666794
Federal,618.1737061,84.1,96.61016846
Estadual,546.1801758,86.9,60.36866379
Estadual,548.5810547,68.1,52.72727203
Estadual,576.4190674,90.1,50.00000000
Estadual,559.5648804,84.0,60.65573883
Estadual,588.7602539,80.4,83.87096405
Estadual,552.4513550,84.8,71.84465790
Estadual,558.8444214,81.7,56.25000000
Estadual,539.2374878,90.6,64.00000000
Estadual,567.5852051,94.0,81.81818390
Estadual,529.5315552,83.3,59.37500000
Estadual,565.0230713,90.6,59.09090805
Estadual,553.2814941,83.4,50.00000000
Estadual,548.3759766,82.0,52.08333206
Estadual,564.6357422,79.1,70.00000000
Estadual,564.0881348,92.8,56.73077011
Privada,638.7794189,96.6,97.14286041
Privada,639.6428833,90.2,100.00000000
Estadual,539.1245117,83.8,51.57894516
Estadual,569.3428345,92.4,79.33333588
Estadual,566.6900024,84.7,80.00000000
Estadual,537.2700195,85.1,69.76744080
Estadual,562.4058228,88.3,78.18182373
Estadual,531.7500000,97.2,83.33332825
Estadual,586.6259766,93.5,87.71929932
Estadual,545.4454346,80.1,57.89473724
Estadual,529.1199951,83.1,76.08695984
Estadual,544.2800293,78.8,69.76744080
Estadual,555.8454590,73.6,68.75000000
Estadual,528.9799805,92.9,55.55555725
Estadual,542.0800171,84.8,66.66667175
Estadual,550.1130371,86.2,62.16216278
Estadual,523.9799805,89.6,71.42857361
Estadual,543.6428833,85.7,65.88235474
Estadual,512.8499756,88.1,75.00000000
Estadual,545.0321655,91.3,57.14286041
Federal,655.2035522,95.3,100.00000000
Estadual,546.7020264,68.6,53.76344299
Estadual,581.8354492,79.0,70.53571320
Estadual,556.3909302,88.5,61.11111069
Estadual,550.7730713,93.4,62.65060425
Estadual,523.0838013,82.4,52.11267471
Estadual,546.7794189,80.7,55.72916794
Estadual,571.4400024,83.5,50.00000000
Estadual,538.6599731,86.6,55.55555725
Estadual,553.0151367,75.9,61.11111069
Estadual,539.3599854,75.9,65.21739197
Privada,584.6799927,91.4,100.00000000
Privada,561.3133545,96.8,88.23529816
Estadual,515.5689697,94.2,63.04347992
Estadual,553.7171631,79.5,61.73633194
Estadual,554.5094604,84.0,68.51851654
Estadual,537.7692261,98.8,68.42105103
Estadual,501.6392822,92.3,53.84615707
Estadual,549.2966919,81.1,76.92308044
Estadual,550.8461304,100.0,100.00000000
Estadual,530.9783325,73.9,61.02941132
Estadual,538.3314209,83.8,70.00000000
Estadual,532.9692383,77.0,50.00000000
Estadual,531.2351074,86.7,64.91228485
Estadual,568.4913330,67.8,90.78947449
Estadual,513.9951172,67.6,50.61728287
Estadual,539.7363892,76.3,70.21276093
Estadual,605.9038696,93.9,98.73417664
Estadual,529.4895020,83.7,59.37500000
Estadual,503.8666687,89.3,63.15789032
Estadual,526.9559937,92.8,59.52380753
Estadual,549.0083618,80.1,62.33766174
Estadual,528.8599854,85.8,51.28205490
Estadual,557.1389771,88.5,62.60162735
Estadual,580.0524902,85.5,59.14893723
Estadual,557.1727295,87.9,58.92857361
Estadual,510.8307800,88.4,76.47058868
Estadual,536.3806152,89.0,68.88889313
Estadual,544.0540161,74.4,73.52941132
Estadual,522.9647217,95.8,73.91304016
Estadual,527.6641235,69.7,67.15328979
Estadual,549.4333496,97.5,52.17391205
Estadual,517.6071167,94.3,56.00000000
Estadual,542.3090820,86.8,62.85714340
Estadual,521.5181885,90.0,64.70588684
Estadual,534.3422852,96.7,61.90476227
Estadual,542.1423340,97.2,61.90476227
Estadual,540.8978882,82.5,68.57143402
Estadual,548.5085449,93.4,57.37704468
Estadual,558.0176392,98.6,70.83332825
Estadual,534.4923096,90.6,72.22222137
Estadual,552.3850708,75.4,69.79167175
Estadual,542.0322876,99.3,63.26530457
Privada,654.5757446,90.8,89.18918610
Privada,609.2095337,100.0,95.45454407
Federal,595.0553589,77.0,95.58823395
Federal,646.8862305,82.2,100.00000000
Estadual,542.2772217,70.9,63.68715286
Estadual,553.0466919,90.0,62.50000000
Estadual,552.2216187,92.2,57.81250000
Estadual,558.9348755,80.1,77.47747803
Estadual,527.0743408,82.6,52.00000000
Estadual,533.5289307,69.0,51.35134888
Estadual,539.9000244,88.8,68.65671539
Estadual,574.5477295,91.1,86.27451324
Estadual,578.3197021,97.4,57.54716873
Estadual,566.6360474,78.8,74.13793182
Estadual,535.4353638,87.0,53.27869034
Estadual,529.7136230,91.9,81.48148346
Estadual,573.8063354,80.5,74.80314636
Estadual,571.8569336,81.5,73.86363983
Estadual,568.4400024,87.5,57.89473724
Estadual,567.5494995,82.3,66.45569611
Estadual,549.7666626,79.0,57.14286041
Estadual,558.5555420,78.2,74.38016510
Estadual,567.7513428,83.1,83.25202942
Estadual,546.1173706,73.4,62.16216278
Estadual,574.1386719,86.7,84.26966095
Estadual,557.1916504,71.3,73.46939087
Estadual,545.1561279,89.2,52.77777863
Estadual,571.0904541,75.8,64.61538696
Estadual,548.1680298,78.0,67.56756592
Estadual,534.4400024,61.2,53.03030014
Estadual,519.7062378,83.7,50.00000000
Estadual,547.2357178,85.5,63.63636398
Estadual,548.4895020,79.5,56.71641922
Estadual,562.9918213,77.9,65.33332825
Estadual,556.0913086,87.1,63.01369476
Estadual,519.2280273,85.7,65.78947449
Estadual,594.9130249,84.3,83.42857361
Estadual,561.1381226,92.9,52.49999619
Estadual,563.7956543,83.4,80.70175934
Estadual,579.9942017,90.8,68.25396729
Estadual,551.8265991,88.6,58.95522308
Estadual,553.0055542,81.3,56.25000000
Estadual,553.3023071,94.5,60.41666794
Estadual,574.4320068,89.3,90.36144257
Estadual,539.6278076,90.4,64.28571320
Estadual,567.3684082,88.8,55.88235092
Estadual,555.9363403,74.0,52.38095474
Estadual,562.2212524,91.4,60.25640869
Estadual,513.2860718,93.3,63.23529434
Estadual,571.3939209,88.2,55.93220520
Estadual,543.7842407,81.1,59.37500000
Estadual,566.2534180,80.0,61.70212555
Estadual,565.1727295,80.4,57.89473724
Estadual,559.0263062,78.6,55.88235092
Estadual,540.1105347,80.0,57.57575607
Estadual,532.0476074,84.4,70.00000000
Estadual,560.2062378,84.1,55.17241287
Estadual,556.4901733,84.2,65.38461304
Estadual,552.4384766,91.5,69.54732513
Estadual,573.8281250,87.0,61.53846359
Estadual,530.6674194,94.3,63.23529434
Estadual,525.6451416,74.4,50.00000000
Estadual,531.5142822,88.3,60.00000381
Estadual,558.3015137,72.8,57.39130402
Estadual,541.9171753,94.3,64.00000000
Estadual,569.9675903,79.5,76.66666412
Estadual,563.6437378,89.6,57.14286041
Estadual,549.7218628,86.6,66.66667175
Estadual,531.2750244,92.0,57.14286041
Estadual,546.8557739,80.1,52.52525330
Estadual,572.1174927,77.0,66.66667175
Estadual,541.2249756,75.1,65.75342560
Estadual,522.8607788,81.4,69.86301422
Estadual,567.6484375,93.7,80.00000000
Estadual,551.7786865,91.1,64.65517426
Estadual,539.1149902,87.9,50.00000000
Estadual,554.3107300,91.6,52.83018875
Privada,627.9735107,98.2,94.44444275
Privada,613.2249756,89.1,100.00000000
Privada,648.0788574,95.8,100.00000000
Privada,616.9523926,98.1,100.00000000
Privada,631.5546875,97.0,97.50000000
Privada,658.2171021,96.6,88.37209320
Privada,611.4562378,96.1,88.88889313
Federal,611.6672974,75.4,93.41317749
Estadual,518.0302734,78.4,60.00000381
Estadual,552.7015991,85.4,74.11764526
Estadual,535.7454834,90.3,55.00000000
Estadual,545.4534912,86.3,50.00000000
Estadual,553.2906494,86.2,55.97014999
Estadual,536.4375000,89.5,53.33333588
Estadual,578.9411621,90.7,68.00000000
Estadual,546.5214233,88.1,79.24528503
Estadual,526.8204346,75.7,55.00000000
Estadual,539.1947632,80.2,70.37036896
Estadual,524.2600098,87.6,55.55555725
Estadual,512.5428467,84.5,52.83018875
Estadual,547.2125244,72.9,54.54545593
Estadual,536.6558228,81.4,61.85566711
Estadual,521.5692139,83.6,54.16666794
Estadual,534.2851563,69.3,53.46534729
Estadual,548.5693359,80.5,77.50000000
Estadual,518.3367310,76.0,56.97674179
Estadual,548.1879883,87.8,73.52941132
Estadual,556.9401855,73.8,81.22448730
Estadual,527.6842041,78.4,63.33333206
Estadual,535.5314331,76.7,60.34482574
Estadual,536.7457886,79.2,56.73077011
Estadual,546.1483154,70.7,60.49382782
Estadual,596.1098022,87.0,91.07142639
Estadual,546.9628296,78.9,72.91667175
Estadual,577.0153198,72.6,78.72340393
Estadual,552.7885742,79.7,57.86802292
Estadual,552.7349854,91.3,51.94805145
Estadual,546.0875244,72.4,68.08510590
Estadual,556.9506226,94.9,70.58823395
Estadual,561.4461670,96.6,52.00000000
Estadual,540.1300049,92.1,63.82978439
Estadual,543.5792847,78.1,54.71697998
Estadual,536.1889038,95.8,58.69564819
Estadual,539.2114868,86.7,61.61616516
Estadual,532.8916626,82.2,53.73134613
Estadual,529.5917358,84.3,55.55555725
Estadual,561.2666626,90.4,52.17391205
Estadual,507.6227417,95.7,78.57142639
Estadual,553.2454834,72.9,66.00000000
Estadual,568.8937378,96.9,64.00000000
Estadual,537.9333496,88.1,60.00000381
Estadual,537.1500244,97.8,54.16666794
Estadual,543.9829102,73.9,57.74647522
Estadual,569.1400146,85.7,50.00000000
Estadual,556.4469604,58.8,65.33332825
Estadual,541.0100098,98.1,74.07407379
Privada,645.7651367,96.7,96.62921143
Privada,622.5560303,94.2,96.15384674
Privada,596.1149902,94.5,90.90909576
Privada,573.6199951,85.6,86.20689392
Privada,598.0441895,94.1,95.55555725
Federal,595.4871826,86.4,88.61788177
Estadual,541.4365234,87.8,51.48514938
Estadual,550.0625000,84.6,53.33333588
Estadual,545.9776001,86.6,56.30252457
Estadual,577.7734375,82.0,57.14286041
Estadual,573.4729004,92.2,56.47059250
Estadual,550.7456055,76.7,56.66666794
Estadual,571.2485962,85.3,51.09489059
Estadual,533.6272583,93.5,51.56250000
Estadual,577.7066650,86.0,71.42857361
Estadual,546.3231812,84.1,68.31682587
Estadual,556.9058838,92.3,60.00000381
Estadual,567.9633179,83.3,51.72413635
Estadual,552.6055298,95.7,65.21739197
Estadual,539.1599731,91.0,59.52380753
Estadual,568.3303833,95.1,78.87323761
Estadual,551.0169678,80.5,74.68354797
Estadual,557.7307739,72.3,77.61193848
Estadual,558.8394165,76.2,76.47058868
Estadual,546.3829956,88.2,85.45454407
Estadual,608.3692017,72.4,50.00000000
Estadual,554.2229614,86.4,55.06328964
Estadual,562.6692505,89.4,52.00000000
Estadual,554.1655273,81.8,53.04877853
Estadual,559.7595215,95.0,77.77777863
Estadual,562.0999756,74.1,61.90476227
Estadual,576.1468506,62.8,68.08510590
Estadual,545.0444336,68.2,56.25000000
Estadual,557.5143433,79.5,70.14925385
Estadual,572.8962402,82.8,76.13169098
Estadual,573.8312378,89.0,51.61289978
Estadual,528.7020264,63.4,56.32184219
Estadual,551.7805176,72.3,51.89873505
Estadual,552.8155518,90.0,69.12751770
Estadual,576.6649780,67.9,55.55555725
Estadual,560.0791626,83.2,60.00000381
Municipal,592.0681763,79.9,84.61538696
Municipal,585.0428467,86.2,59.57446671
Privada,658.5636597,95.9,89.18918610
Privada,616.6958618,99.2,96.00000000
Privada,595.9723511,93.3,81.03448486
Privada,627.0925293,95.0,97.56097412
Privada,597.7684326,91.9,79.16667175
Privada,633.3116455,96.5,97.72727203
Privada,630.5938721,96.6,100.00000000
Privada,608.3214111,99.3,94.91525269
Privada,597.3095093,95.0,100.00000000
Privada,612.5192871,89.2,87.90322876
Federal,596.5740967,74.9,97.29730225
Estadual,489.6428528,98.2,58.33333206
Estadual,508.2077026,94.7,65.00000000
Estadual,525.0354004,75.3,56.85131073
Estadual,510.7435913,77.3,66.10169220
Estadual,544.5615234,100.0,65.00000000
Estadual,568.9699707,98.0,71.42857361
Estadual,551.8122559,84.5,67.85713959
Estadual,534.6272583,93.6,76.74418640
Estadual,544.3950195,92.5,50.00000000
Estadual,515.5755005,77.1,62.82051086
Estadual,518.4500122,95.3,55.55555725
Estadual,546.7084961,75.3,63.51351166
Privada,579.1900024,100.0,96.77419281
Federal,622.8524780,97.8,96.38554382
Estadual,542.3571167,91.5,58.33333206
Estadual,549.1767578,71.0,64.17910767
Estadual,537.9589844,84.2,58.20895386
Estadual,561.4444580,93.3,52.94117737
Estadual,579.9058838,81.3,69.38775635
Estadual,558.8369141,79.6,61.76470566
Estadual,538.2252197,81.9,69.48052216
Estadual,547.6405640,68.4,65.43209839
Estadual,550.0847168,78.0,66.29213715
Estadual,565.6517944,85.1,77.47252655
Estadual,548.7943115,75.6,60.91954041
Estadual,563.2352905,77.8,50.00000000
Estadual,530.5058594,75.5,53.96825790
Estadual,557.8699951,73.4,65.78947449
Estadual,559.6359253,73.0,69.84127045
Estadual,539.8650513,79.4,61.16504669
Estadual,559.3453979,75.5,75.11521149
Estadual,553.8438721,82.0,57.57575607
Estadual,548.5304565,69.8,69.69696808
Estadual,570.6493530,77.5,86.36363983
Estadual,523.5130615,82.3,63.88888931
Estadual,542.8660889,69.4,58.41584015
Estadual,557.8459473,67.2,50.00000000
Estadual,540.4513550,72.8,61.15702438
Estadual,559.5000000,60.0,58.33333206
